	lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
4353	-lame	эстонский	льстивый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4354	-lame	эстонский	болтливый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4127	-libe	эстонский	скользкий тип (может обмануть, подвести)	inimene	ненадежность: человек	качества человека	гладкий	п			-
4129	-libe	эстонский	болтливый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
3528	-liukas	финский	льстивый человек	ihminen	ненадежность: человек	качества человека	гладкий	п			-
4502	-pajłi	хантыйский (говор с. теги)	скользкий тип (может обмануть, подвести)	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4503	-pajłi	хантыйский (говор с. теги)	льстивый человек	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4504	-pajłi	хантыйский (говор с. теги)	болтливый человек	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4202	-sile	эстонский	скользкий тип (может обмануть, подвести)	inimene	ненадежность: человек	качества человека	гладкий	п			-
4203	-sile	эстонский	льстивый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4204	-sile	эстонский	болтливый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4277	-tasane	эстонский	скользкий тип (может обмануть, подвести)	inimene	ненадежность: человек	качества человека	гладкий	п			-
4278	-tasane	эстонский	льстивый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4279	-tasane	эстонский	болтливый человек	inimene	ненадежность: человек	качества человека	гладкий	п			-
4727	-vad'av	мокшанский	скользкий тип (может обмануть, подвести)	loman'	ненадежность: человек	качества человека	гладкий	п			-
4728	-vad'av	мокшанский	льстивый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4729	-vad'av	мокшанский	болтливый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4578	-valaz’ɛ	мокшанский	льстивый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4579	-valaz’ɛ	мокшанский	болтливый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4802	-vid’ə	мокшанский	скользкий тип (может обмануть, подвести)	loman'	ненадежность: человек	качества человека	гладкий	п			-
4803	-vid’ə	мокшанский	льстивый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4804	-vid’ə	мокшанский	болтливый человек	loman'	ненадежность: человек	качества человека	гладкий	п			-
4427	-wŏł’ǝk	хантыйский (говор с. теги)	скользкий тип (может обмануть, подвести)	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4428	-wŏł’ǝk	хантыйский (говор с. теги)	льстивый человек	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4429	-wŏł’ǝk	хантыйский (говор с. теги)	болтливый человек	xănnexuo	ненадежность: человек	качества человека	гладкий	п			-
4952	-валаня	эрзянский	скользкий тип (может обмануть, подвести)	ломань	ненадежность: человек	качества человека	гладкий	п			-
4953	-валаня	эрзянский	льстивый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
4954	-валаня	эрзянский	болтливый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
3227	-вольк	коми-зырянский (ижемский диалект)	скользкий тип (может обмануть, подвести)	морт	ненадежность: человек	качества человека	гладкий	п			-
3228	-вольк	коми-зырянский (ижемский диалект)	льстивый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3229	-вольк	коми-зырянский (ижемский диалект)	болтливый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3302	-вольсъёоны	коми-зырянский (ижемский диалект)	скользкий тип (может обмануть, подвести)	морт	ненадежность: человек	качества человека	гладкий	п			-
3303	-вольсъёоны	коми-зырянский (ижемский диалект)	льстивый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3304	-вольсъёоны	коми-зырянский (ижемский диалект)	болтливый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3002	-гладкий	русский	скользкий тип (может обмануть, подвести)	тип	ненадежность: человек	качества человека	гладкий	п			-
3003	-гладкий	русский	льстивый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
3004	-гладкий	русский	болтливый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
5027	-лапужа	эрзянский	скользкий тип (может обмануть, подвести)	ломань	ненадежность: человек	качества человека	гладкий	п			-
5028	-лапужа	эрзянский	льстивый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
5029	-лапужа	эрзянский	болтливый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
3377	-мольыд	коми-зырянский (ижемский диалект)	скользкий тип (может обмануть, подвести)	морт	ненадежность: человек	качества человека	гладкий	п			-
3378	-мольыд	коми-зырянский (ижемский диалект)	льстивый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3379	-мольыд	коми-зырянский (ижемский диалект)	болтливый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
5177	-нăсадăрць	ненецкий	скользкий тип (может обмануть, подвести)	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5178	-нăсадăрць	ненецкий	льстивый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5179	-нăсадăрць	ненецкий	болтливый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
4878	-нолажа	эрзянский	льстивый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
4879	-нолажа	эрзянский	болтливый человек	ломань	ненадежность: человек	качества человека	гладкий	п			-
3452	-плавкес	коми-зырянский (ижемский диалект)	скользкий тип (может обмануть, подвести)	морт	ненадежность: человек	качества человека	гладкий	п			-
3453	-плавкес	коми-зырянский (ижемский диалект)	льстивый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3454	-плавкес	коми-зырянский (ижемский диалект)	болтливый человек	морт	ненадежность: человек	качества человека	гладкий	п			-
3152	-плоский	русский	скользкий тип (может обмануть, подвести)	тип	ненадежность: человек	качества человека	гладкий	п			-
3153	-плоский	русский	льстивый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
3154	-плоский	русский	болтливый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
3077	-ровный	русский	скользкий тип (может обмануть, подвести)	тип	ненадежность: человек	качества человека	гладкий	п			-
3078	-ровный	русский	льстивый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
3079	-ровный	русский	болтливый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
5102	-салăт”	ненецкий	скользкий тип (может обмануть, подвести)	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5103	-салăт”	ненецкий	льстивый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5104	-салăт”	ненецкий	болтливый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5252	-салмуй	ненецкий	скользкий тип (может обмануть, подвести)	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5253	-салмуй	ненецкий	льстивый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
5254	-салмуй	ненецкий	болтливый человек	ненэць'	ненадежность: человек	качества человека	гладкий	п			-
2928	-скользкий	русский	льстивый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
2929	-скользкий	русский	болтливый человек	человек	ненадежность: человек	качества человека	гладкий	п			-
3677	-光溜 guāngliu	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
3678	-光溜 guāngliu	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
3679	-光溜 guāngliu	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
3602	-光滑 guānghuá	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
3603	-光滑 guānghuá	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
3604	-光滑 guānghuá	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
3977	-平 píng	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
3978	-平 píng	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
3979	-平 píng	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
3827	-平坦 píngtǎn	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
3828	-平坦 píngtǎn	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
3829	-平坦 píngtǎn	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
3902	-平整 píngzhěng	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
3903	-平整 píngzhěng	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
3904	-平整 píngzhěng	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
4052	-平滑 pínghuá	китайский	скользкий тип (может обмануть, подвести)		ненадежность: человек	качества человека	гладкий	п			-
4053	-平滑 pínghuá	китайский	льстивый человек		ненадежность: человек	качества человека	гладкий	п			-
4054	-平滑 pínghuá	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
3754	-滑 huá	китайский	болтливый человек		ненадежность: человек	качества человека	гладкий	п			-
4128	libe	эстонский	льстивый человек	inimene	ненадежность: человек	качества человека	гладкий	п			+
3527	liukas	финский	скользкий тип (может обмануть, подвести)	ihminen	ненадежность: человек	качества человека	гладкий	п			+
3529	liukas	финский	болтливый человек	ihminen	ненадежность: человек	качества человека	гладкий	п			+
4577	valaz’ɛ	мокшанский	скользкий тип (может обмануть, подвести)	loman'	ненадежность: человек	качества человека	гладкий	п			+
4877	нолажа	эрзянский	скользкий тип (может обмануть, подвести)	ломань	ненадежность: человек	качества человека	гладкий	п			+
2927	скользкий	русский	скользкий тип (может обмануть, подвести)	тип	ненадежность: человек	качества человека	гладкий	п			+
3752	滑 huá	китайский	скользкий тип (может обмануть, подвести)	人很滑	ненадежность: человек	качества человека	гладкий	п			+
3753	滑 huá	китайский	льстивый человек	人很滑	ненадежность: человек	качества человека	гладкий	п			+
4690	-gur’kstəms	мокшанский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	tan'f	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4390	-lame	эстонский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	maitse	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4165	-libe	эстонский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	maitse	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4540	-pajłi	хантыйский (говор с. теги)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4240	-sile	эстонский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	maitse	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4315	-tasane	эстонский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	maitse	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4765	-vad'av	мокшанский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	tan'f	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4615	-valaz’ɛ	мокшанский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	tan'f	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4840	-vid’ə	мокшанский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	tan'f	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4465	-wŏł’ǝk	хантыйский (говор с. теги)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4990	-валаня	эрзянский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	тансть	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3265	-вольк	коми-зырянский (ижемский диалект)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	скус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3340	-вольсъёоны	коми-зырянский (ижемский диалект)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	скус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3040	-гладкий	русский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	вкус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
5065	-лапужа	эрзянский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	тансть	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3415	-мольыд	коми-зырянский (ижемский диалект)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	скус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
5215	-нăсадăрць	ненецкий	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4915	-нолажа	эрзянский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	тансть	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3490	-плавкес	коми-зырянский (ижемский диалект)	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	скус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3190	-плоский	русский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	вкус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3115	-ровный	русский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	вкус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
5140	-салăт”	ненецкий	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
5290	-салмуй	ненецкий	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
2965	-скользкий	русский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	вкус	отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3715	-光溜 guāngliu	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3640	-光滑 guānghuá	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4015	-平 píng	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3865	-平坦 píngtǎn	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3940	-平整 píngzhěng	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
4090	-平滑 pínghuá	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3790	-滑 huá	китайский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			-
3565		финский	приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)		отсутствие недостатков, затруднений: вкус	физ.свойства: вкус	гладкий	п			+
4681	-gur’kstəms	мокшанский	красивая девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4682	-gur’kstəms	мокшанский	стройная девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4683	-gur’kstəms	мокшанский	добрый человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4684	-gur’kstəms	мокшанский	мягкий человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4685	-gur’kstəms	мокшанский	аккуратный человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4381	-lame	эстонский	красивая девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4382	-lame	эстонский	стройная девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4383	-lame	эстонский	добрый человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4384	-lame	эстонский	мягкий человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4385	-lame	эстонский	аккуратный человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4156	-libe	эстонский	красивая девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4157	-libe	эстонский	стройная девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4158	-libe	эстонский	добрый человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4159	-libe	эстонский	мягкий человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4160	-libe	эстонский	аккуратный человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4531	-pajłi	хантыйский (говор с. теги)	красивая девушка	ewi	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4532	-pajłi	хантыйский (говор с. теги)	стройная девушка	ewi	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4533	-pajłi	хантыйский (говор с. теги)	добрый человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4534	-pajłi	хантыйский (говор с. теги)	мягкий человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4535	-pajłi	хантыйский (говор с. теги)	аккуратный человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4232	-sile	эстонский	стройная девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4233	-sile	эстонский	добрый человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4234	-sile	эстонский	мягкий человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4235	-sile	эстонский	аккуратный человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4306	-tasane	эстонский	красивая девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4307	-tasane	эстонский	стройная девушка	tüdruk	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4308	-tasane	эстонский	добрый человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4310	-tasane	эстонский	аккуратный человек	inimene	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4756	-vad'av	мокшанский	красивая девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4757	-vad'av	мокшанский	стройная девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4758	-vad'av	мокшанский	добрый человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4759	-vad'av	мокшанский	мягкий человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4760	-vad'av	мокшанский	аккуратный человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4606	-valaz’ɛ	мокшанский	красивая девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4607	-valaz’ɛ	мокшанский	стройная девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4608	-valaz’ɛ	мокшанский	добрый человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4609	-valaz’ɛ	мокшанский	мягкий человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4610	-valaz’ɛ	мокшанский	аккуратный человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4831	-vid’ə	мокшанский	красивая девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4832	-vid’ə	мокшанский	стройная девушка	st’ər’	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4833	-vid’ə	мокшанский	добрый человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4834	-vid’ə	мокшанский	мягкий человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4835	-vid’ə	мокшанский	аккуратный человек	loman'	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4456	-wŏł’ǝk	хантыйский (говор с. теги)	красивая девушка	ewi	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4457	-wŏł’ǝk	хантыйский (говор с. теги)	стройная девушка	ewi	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4458	-wŏł’ǝk	хантыйский (говор с. теги)	добрый человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4459	-wŏł’ǝk	хантыйский (говор с. теги)	мягкий человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4460	-wŏł’ǝk	хантыйский (говор с. теги)	аккуратный человек	xănnexuo	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4981	-валаня	эрзянский	красивая девушка	тейтерь	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4982	-валаня	эрзянский	стройная девушка	тейтерь	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
4983	-валаня	эрзянский	добрый человек	ломань	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4984	-валаня	эрзянский	мягкий человек	ломань	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
4985	-валаня	эрзянский	аккуратный человек	ломань	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3256	-вольк	коми-зырянский (ижемский диалект)	красивая девушка	ныы	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3257	-вольк	коми-зырянский (ижемский диалект)	стройная девушка	ныы	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3258	-вольк	коми-зырянский (ижемский диалект)	добрый человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3259	-вольк	коми-зырянский (ижемский диалект)	мягкий человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3260	-вольк	коми-зырянский (ижемский диалект)	аккуратный человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3261	-вольк	коми-зырянский (ижемский диалект)	красивый парень	зон	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3262	-вольк	коми-зырянский (ижемский диалект)	стройный парень	зон	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3263	-вольк	коми-зырянский (ижемский диалект)	красивый человек	морт	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3264	-вольк	коми-зырянский (ижемский диалект)	стройный человек	морт	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3331	-вольсъёоны	коми-зырянский (ижемский диалект)	красивая девушка	ныы	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3332	-вольсъёоны	коми-зырянский (ижемский диалект)	стройная девушка	ныы	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
3333	-вольсъёоны	коми-зырянский (ижемский диалект)	добрый человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3334	-вольсъёоны	коми-зырянский (ижемский диалект)	мягкий человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3335	-вольсъёоны	коми-зырянский (ижемский диалект)	аккуратный человек	морт	отсутствие недостатков, затруднений: характеристика человека	качества человека	гладкий	п			-
3336	-вольсъёоны	коми-зырянский (ижемский диалект)	красивый парень	зон	отсутствие недостатков, затруднений: характеристика человека		гладкий	п			-
