lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
alascony	венгерский	дупло		неглубокие природные контейнеры, ориентированные горизонтально	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	пещера		неглубокие природные контейнеры, ориентированные горизонтально	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	дупло		неглубокие природные контейнеры, ориентированные горизонтально	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	пещера		неглубокие природные контейнеры, ориентированные горизонтально	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	овраг		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	трещина		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	ущелье		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	яма		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	овраг		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	трещина		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	ущелье		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	яма		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	яма		неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			1
һай	башкирский	овраг	йырын	неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			1
һай	башкирский	трещина	ек	неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			1
һай	башкирский	яма	соҡор	неглубокие природные контейнеры, ориентированные сверху вниз	размер	мелкий/низкий/короткий	d			1
alascony	венгерский	небо, небосвод		неглубокие природные контейнеры, ориентированные снизу вверх	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	небо, небосвод		неглубокие природные контейнеры, ориентированные снизу вверх	размер	мелкий/низкий/короткий	d			0
тәпәш	башкирский	небо, небосвод	күк, күк көмбәҙе	неглубокие природные контейнеры, ориентированные снизу вверх	размер	мелкий/низкий/короткий	d			1
alascony	венгерский	грязь		неглубокие/тонкие горизонтально закрепленные слои	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	грязь		неглубокие/тонкие горизонтально закрепленные слои	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	слой снега		неглубокие/тонкие горизонтально закрепленные слои	размер	мелкий/низкий/короткий	d			0
йоҡа	башкирский	слой снега	ҡар	неглубокие/тонкие горизонтально закрепленные слои	размер	мелкий/низкий/короткий	d			1
һай	башкирский	грязь	Мәте / ҡойо / һаҙлыҡ	неглубокие/тонкие горизонтально закрепленные слои	размер	мелкий/низкий/короткий	d			1
hosszú	венгерский	корни		располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	порода		располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			0
magas	венгерский	корни		располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			0
dziļš	латышский	корни	dziļas saknes	располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			1
mély	венгерский	корни		располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			1
төптәге	башкирский	корни	тамыр	располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			1
төптәге	башкирский	порода	руда	располагающиеся на большой глубине объекты	размер	мелкий/низкий/короткий	d			1
hosszú	венгерский	ветка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	звёзды		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	кровать		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	облака		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	потолок		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	скамейка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	стул		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	табуретка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	талия		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
hosszú	венгерский	турник		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
magas	венгерский	ветка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	ветка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	звёзды		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	кровать		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	облака		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	потолок		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	скамейка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	стул		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	табуретка		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	талия		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
mély	венгерский	турник		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			0
augsts	латышский	потолок	augsti griesti	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
augsts	латышский	стул	augsts krēsls	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
magas	венгерский	стул		располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	ветка	ботаҡ	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	звёзды	йондоҙҙар	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	кровать	карауат	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	облака	болот	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	потолок	түшәм	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	скамейка	ширлек, эскәмйә	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	стул	ултырғыс	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
бейек	башкирский	турник	турник	располагающиеся на высоте объекты	размер	мелкий/низкий/короткий	d			1
rövid	венгерский	ветка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	звёзды		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	кровать		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	облака		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	потолок		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	скамейка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	стул		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	табуретка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	талия		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	турник		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	ветка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	звёзды		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	кровать		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	облака		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	потолок		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	скамейка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	стул		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	табуретка		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	талия		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
sekély	венгерский	турник		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			0
alascony	венгерский	стул		располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	ветка	ботаҡ	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	звёзды	йондоҙҙар	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	кровать	карауат	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	облака	болот	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	потолок	түшәм	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	скамейка	ширлек, эскәмйә	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	стул	ултырғыс	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
тәпәш	башкирский	турник	турник	располагающиеся на небольшой высоте объекты	размер	мелкий/низкий/короткий	d			1
rövid	венгерский	корни		располагающиеся на небольшой глубине объекты	размер	мелкий/низкий/короткий	d			0
rövid	венгерский	порода		располагающиеся на небольшой глубине объекты	размер	мелкий/низкий/короткий	d			0
өҫтәге	башкирский	корни	тамыр	располагающиеся на небольшой глубине объекты	размер	мелкий/низкий/короткий	d			1
өҫтәге	башкирский	порода	руда	располагающиеся на небольшой глубине объекты	размер	мелкий/низкий/короткий	d			1
mollet	французский	мягкий хлеб				мягкий				1
yumuşak	турецкий	вялый человек		безвольный		мягкий	f			0
mou	французский	вялое сопротивление		безвольный		мягкий	f			1
mou	французский	вялый человек		безвольный		мягкий	f			1
lɛpə	мокшанский	мягкая глина		вещества		мягкий	d			1
lɛpə	мокшанский	мягкая земля		вещества		мягкий	d			1
lɛpə	мокшанский	мягкий снег		вещества		мягкий	d			1
lɛpə	мокшанский	мягкое тесто		вещества		мягкий	d			1
mianruan	китайский	мягкий снег		вещества		мягкий	d			1
mou	французский	мягкая глина		вещества		мягкий	d			1
mou	французский	мягкая земля		вещества		мягкий	d			1
mou	французский	мягкий снег		вещества		мягкий	d			1
mou	французский	мягкое тесто		вещества		мягкий	d			1
mwulu-ta	корейский	мягкая земля		вещества		мягкий	d			1
mwulu-ta	корейский	мягкое тесто		вещества		мягкий	d			1
mürbe	немецкий	мягкое тесто		вещества		мягкий	d			1
n’ulәk°	ненецкий	мягкая глина		вещества		мягкий	d			1
n’ulәk°	ненецкий	мягкая земля		вещества		мягкий	d			1
n’ulәk°	ненецкий	мягкий снег		вещества		мягкий	d			1
n’ulәk°	ненецкий	мягкое тесто		вещества		мягкий	d			1
pehmeä	финский	мягкая глина		вещества		мягкий	d			1
pehmeä	финский	мягкая земля		вещества		мягкий	d			1
pwutulep-ta	корейский	мягкая глина		вещества		мягкий	d			1
pwutulep-ta	корейский	мягкая земля		вещества		мягкий	d			1
pwutulep-ta	корейский	мягкое тесто		вещества		мягкий	d			1
rouruan	китайский	мягкая глина		вещества		мягкий	d			1
rouruan	китайский	мягкая земля		вещества		мягкий	d			1
ruan	китайский	мягкая глина		вещества		мягкий	d			1
ruan	китайский	мягкая земля		вещества		мягкий	d			1
ruan	китайский	мягкий снег		вещества		мягкий	d			1
ruan	китайский	мягкое тесто		вещества		мягкий	d			1
soft	английский	мягкая глина		вещества		мягкий	d			1
soft	английский	мягкая земля		вещества		мягкий	d			1
soft	английский	мягкий снег		вещества		мягкий	d			1
soft	английский	мягкое тесто		вещества		мягкий	d			1
songruan	китайский	мягкая глина		вещества		мягкий	d			1
songruan	китайский	мягкая земля		вещества		мягкий	d			1
songruan	китайский	мягкий снег		вещества		мягкий	d			1
weich	немецкий	мягкая глина		вещества		мягкий	d			1
weich	немецкий	мягкая земля		вещества		мягкий	d			1
weich	немецкий	мягкий снег		вещества		мягкий	d			1
weich	немецкий	мягкое тесто		вещества		мягкий	d			1
yumuşak	турецкий	мягкая глина		вещества		мягкий	d			1
yumuşak	турецкий	мягкая земля		вещества		мягкий	d			1
yumuşak	турецкий	мягкий снег		вещества		мягкий	d			1
yumuşak	турецкий	мягкое тесто		вещества		мягкий	d			1
zart	немецкий	мягкое тесто		вещества		мягкий	d			1
мягкий	русский	мягкая глина	глина	вещества		мягкий	d			1
мягкий	русский	мягкая земля	земля	вещества		мягкий	d			1
мягкий	русский	мягкий снег	снег	вещества		мягкий	d			1
мягкий	русский	мягкое тесто	тесто	вещества		мягкий	d			1
небыд	коми	мягкая глина		вещества		мягкий	d			1
небыд	коми	мягкая земля		вещества		мягкий	d			1
небыд	коми	мягкий снег		вещества		мягкий	d			1
небыд	коми	мягкое тесто		вещества		мягкий	d			1
yumuşak	турецкий	глупый ум		глупый		мягкий	f			0
yumuşak	турецкий	глупый человек		глупый		мягкий	f			0
yumuşak	турецкий	деликатный человек		деликатный человек		мягкий	f			0
delicate	английский	деликатный человек		деликатный человек		мягкий	f			1
soft	английский	мягкий голос		добрый человек		мягкий	f			1
soft	английский	мягкий человек		добрый человек		мягкий	f			1
yumuşak	турецкий	мягкая улыбка		добрый, податливый человек		мягкий	f			0
yumuşak	турецкий	мягкий взгляд		добрый, податливый человек		мягкий	f			0
yumuşak	турецкий	мягкий человек		добрый, податливый человек		мягкий	f			0
yumuşak	турецкий	нестрогий закон		добрый, податливый человек		мягкий	f			0
n’ulәk°	ненецкий	мягкий человек		добрый, податливый человек		мягкий	f			1
n’ulәk°	ненецкий	нестрогий закон		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкая женственность		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкая политика		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкая улыбка		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкий взгляд		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкий характер		добрый, податливый человек		мягкий	f			1
pehmeä	финский	мягкий человек		добрый, податливый человек		мягкий	f			1
rouruan	китайский	мягкий голос		добрый, податливый человек		мягкий	f			1
rouruan	китайский	мягкий характер		добрый, податливый человек		мягкий	f			1
rouruan	китайский	мягкий человек		добрый, податливый человек		мягкий	f			1
ruan	китайский	мягкий упрек		добрый, податливый человек		мягкий	f			1
ruan	китайский	мягкий характер		добрый, податливый человек		мягкий	f			1
soft	английский	мягкие слова		добрый, податливый человек		мягкий	f			1
yumuşak	турецкий	мягкая политика		добрый, податливый человек		мягкий	f			1
yumuşak	турецкий	мягкие слова		добрый, податливый человек		мягкий	f			1
yumuşak	турецкий	мягкий характер		добрый, податливый человек		мягкий	f			1
yumuşak	турецкий	мягкое сердце		добрый, податливый человек		мягкий	f			1
мягкий	русский	мягкий голос		добрый, податливый человек		мягкий	f			1
мягкий	русский	мягкий упрек		добрый, податливый человек		мягкий	f			1
мягкий	русский	мягкий характер		добрый, податливый человек		мягкий	f			1
мягкий	русский	мягкий человек		добрый, податливый человек		мягкий	f			1
yumuşak	турецкий	мягкий камень		крошащиеся объекты		мягкий	d			0
lɛpə	мокшанский	мягкий камень		крошащиеся объекты		мягкий	d			1
lɛpə	мокшанский	мягкое дерево		крошащиеся объекты		мягкий	d			1
n’ulәk°	ненецкий	мягкий камень		крошащиеся объекты		мягкий	d			1
n’ulәk°	ненецкий	мягкое дерево		крошащиеся объекты		мягкий	d			1
pehmeä	финский	мягкое дерево		крошащиеся объекты		мягкий	d			1
pwutulep-ta	корейский	мягкое дерево		крошащиеся объекты		мягкий	d			1
rouruan	китайский	мягкая древесина		крошащиеся объекты		мягкий	d			1
ruan	китайский	мягкая древесина		крошащиеся объекты		мягкий	d			1
ruan	китайский	мягкий камень		крошащиеся объекты		мягкий	d			1
soft	английский	мягкий камень		крошащиеся объекты		мягкий	d			1
soft	английский	мягкое дерево		крошащиеся объекты		мягкий	d			1
tendre	французский	мягкий камень		крошащиеся объекты		мягкий	d			1
tendre	французский	мягкое дерево		крошащиеся объекты		мягкий	d			1
weich	немецкий	мягкий камень		крошащиеся объекты		мягкий	d			1
yumuşak	турецкий	мягкое дерево		крошащиеся объекты		мягкий	d			1
мягкий	русский	мягкий камень	камень	крошащиеся объекты		мягкий	d			1
мягкий	русский	мягкое дерево	дерево	крошащиеся объекты		мягкий	d			1
kuschelig	немецкий	мягкая подушка +		мебель		мягкий	d			1
kuschelig	немецкий	мягкий диван +		мебель		мягкий	d			1
lɛpə	мокшанский	мягкая подушка		мебель		мягкий	d			1
lɛpə	мокшанский	мягкий диван		мебель		мягкий	d			1
lɛpə	мокшанский	мягкий стул		мебель		мягкий	d			1
moelleux	французский	мягкая подушка +		мебель		мягкий	d			1
moelleux	французский	мягкий диван +		мебель		мягкий	d			1
moelleux	французский	мягкий стул +		мебель		мягкий	d			1
mou	французский	мягкий диван -		мебель		мягкий	d			1
mou	французский	мягкий стул -		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкая подушка +		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкая подушка -		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкий диван +		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкий диван -		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкий стул +		мебель		мягкий	d			1
n’ulәk°	ненецкий	мягкий стул -		мебель		мягкий	d			1
pehmeä	финский	мягкая подушка +		мебель		мягкий	d			1
pehmeä	финский	мягкая подушка -		мебель		мягкий	d			1
pehmeä	финский	мягкий диван +		мебель		мягкий	d			1
pehmeä	финский	мягкий диван -		мебель		мягкий	d			1
pehmeä	финский	мягкий стул +		мебель		мягкий	d			1
pehmeä	финский	мягкий стул -		мебель		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкая подушка +		мебель		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкий диван +		мебель		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкий стул +		мебель		мягкий	d			1
rouruan	китайский	мягкая подушка +		мебель		мягкий	d			1
rouruan	китайский	мягкая подушка -		мебель		мягкий	d			1
rouruan	китайский	мягкий диван +		мебель		мягкий	d			1
rouruan	китайский	мягкий диван -		мебель		мягкий	d			1
ruan	китайский	мягкая подушка +		мебель		мягкий	d			1
ruan	китайский	мягкая подушка -		мебель		мягкий	d			1
ruan	китайский	мягкий диван +		мебель		мягкий	d			1
ruan	китайский	мягкий диван -		мебель		мягкий	d			1
ruan	китайский	мягкий стул +		мебель		мягкий	d			1
ruan	китайский	мягкий стул -		мебель		мягкий	d			1
soft	английский	мягкая подушка +		мебель		мягкий	d			1
soft	английский	мягкая подушка -		мебель		мягкий	d			1
soft	английский	мягкий диван +		мебель		мягкий	d			1
soft	английский	мягкий диван -		мебель		мягкий	d			1
soft	английский	мягкий стул +		мебель		мягкий	d			1
soft	английский	мягкий стул -		мебель		мягкий	d			1
songruan	китайский	мягкая подушка +		мебель		мягкий	d			1
songruan	китайский	мягкая подушка -		мебель		мягкий	d			1
songruan	китайский	мягкий диван +		мебель		мягкий	d			1
songruan	китайский	мягкий диван -		мебель		мягкий	d			1
weich	немецкий	мягкая подушка +		мебель		мягкий	d			1
weich	немецкий	мягкая подушка -		мебель		мягкий	d			1
weich	немецкий	мягкий диван +		мебель		мягкий	d			1
weich	немецкий	мягкий диван -		мебель		мягкий	d			1
weich	немецкий	мягкий стул +		мебель		мягкий	d			1
weich	немецкий	мягкий стул -		мебель		мягкий	d			1
yumuşak	турецкий	мягкая подушка		мебель		мягкий	d			1
yumuşak	турецкий	мягкий диван		мебель		мягкий	d			1
yumuşak	турецкий	мягкий стул		мебель		мягкий	d			1
мягкий	русский	мягкая подушка +	подушка	мебель		мягкий	d			1
мягкий	русский	мягкая подушка -	подушка	мебель		мягкий	d			1
мягкий	русский	мягкий диван +	диван	мебель		мягкий	d			1
мягкий	русский	мягкий диван -	диван	мебель		мягкий	d			1
мягкий	русский	мягкий стул +	стул	мебель		мягкий	d			1
мягкий	русский	мягкий стул -	стул	мебель		мягкий	d			1
небыд	коми	мягкая подушка +		мебель		мягкий	d			1
небыд	коми	мягкая подушка -		мебель		мягкий	d			1
небыд	коми	мягкий диван +		мебель		мягкий	d			1
небыд	коми	мягкий диван -		мебель		мягкий	d			1
небыд	коми	мягкий стул +		мебель		мягкий	d			1
небыд	коми	мягкий стул -		мебель		мягкий	d			1
yumuşak	турецкий	безалкогольный напиток		напитки		мягкий	f			0
moelleux	французский	полусладкое вино		напитки		мягкий	f			1
soft	английский	безалкогольный нипиток		напитки		мягкий	f			1
yumuşak	турецкий	несильный дождь		невысокая степень		мягкий	f			0
yumuşak	турецкий	слабый ветер		невысокая степень		мягкий	f			0
yumuşak	турецкий	слабый удар		невысокая степень		мягкий	f			0
mou	французский	редкий пульс		невысокая степень		мягкий	f			1
pehmeä	финский	слабый удар		невысокая степень		мягкий	f			1
rouruan	китайский	неяркий свет		невысокая степень		мягкий	f			1
mou	французский	неяркий свет		нежное воздействие на органы чувств		мягкий	f			1
n’ulәk°	ненецкий	легкая рука		нежное воздействие на органы чувств		мягкий	f			1
pehmeä	финский	нежный вкус		нежное воздействие на органы чувств		мягкий	f			1
pehmeä	финский	нежный оттенок		нежное воздействие на органы чувств		мягкий	f			1
pehmeä	финский	нежный цвет		нежное воздействие на органы чувств		мягкий	f			1
ruan	китайский	мягкий климат		нежное воздействие на органы чувств		мягкий	f			1
ruan	китайский	неяркий свет		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	легкий ветерок		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	мягкая сила		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	мягкий звук		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	нежный оттенок		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	неяркий свет		нежное воздействие на органы чувств		мягкий	f			1
soft	английский	приятный смех		нежное воздействие на органы чувств		мягкий	f			1
мягкий	русский	мягкий климат		нежное воздействие на органы чувств		мягкий	f			1
мягкий	русский	неяркий свет		нежное воздействие на органы чувств		мягкий	f			1
yumuşak	турецкий	мягкий голос		нежное воздействие на отганы чувств		мягкий	f			0
yumuşak	турецкий	нежный цвет		нежное воздействие на отганы чувств		мягкий	f			0
yumuşak	турецкий	неяркий свет		нежное воздействие на отганы чувств		мягкий	f			0
pehmeä	финский	мягкий голос		нежное воздействие на отганы чувств		мягкий	f			1
tender	английский	нежный возраст		нежный		мягкий	f			1
tender	английский	нежный человек		нежный		мягкий	f			1
zart	немецкий	нежный человек		нежный человек		мягкий	f			1
ruan	китайский	слабый		обесслевшее тело		мягкий	f			1
delicate	английский	мягкие тапочки		одежда		мягкий	d			1
kuschelig	немецкий	мягкий халат +		одежда		мягкий	d			1
lɛpə	мокшанский	мягкие тапочки		одежда		мягкий	d			1
lɛpə	мокшанский	мягкий халат		одежда		мягкий	d			1
moelleux	французский	мягкий халат +		одежда		мягкий	d			1
n’ulәk°	ненецкий	мягкие тапочки		одежда		мягкий	d			1
n’ulәk°	ненецкий	мягкий халат +		одежда		мягкий	d			1
n’ulәk°	ненецкий	мягкий халат -		одежда		мягкий	d			1
pehmeä	финский	мягкие тапочки		одежда		мягкий	d			1
pehmeä	финский	мягкий халат +		одежда		мягкий	d			1
pehmeä	финский	мягкий халат -		одежда		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкие тапочки		одежда		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкий халат +		одежда		мягкий	d			1
phwuksin-ha-ta, phokun-ha-ta	корейский	мягкий халат -		одежда		мягкий	d			1
pwutulep-ta	корейский	мягкие тапочки		одежда		мягкий	d			1
pwutulep-ta	корейский	мягкий халат +		одежда		мягкий	d			1
pwutulep-ta	корейский	мягкий халат -		одежда		мягкий	d			1
rouruan	китайский	мягкие тапочки		одежда		мягкий	d			1
rouruan	китайский	мягкий халат +		одежда		мягкий	d			1
rouruan	китайский	мягкий халат -		одежда		мягкий	d			1
ruan	китайский	мягкие тапочки		одежда		мягкий	d			1
ruan	китайский	мягкий халат +		одежда		мягкий	d			1
ruan	китайский	мягкий халат -		одежда		мягкий	d			1
soft	английский	мягкие тапочки		одежда		мягкий	d			1
soft	английский	мягкий халат +		одежда		мягкий	d			1
soft	английский	мягкий халат -		одежда		мягкий	d			1
songruan	китайский	мягкие тапочки		одежда		мягкий	d			1
songruan	китайский	мягкий халат +		одежда		мягкий	d			1
songruan	китайский	мягкий халат -		одежда		мягкий	d			1
souple	французский	мягкая ненакрахмаленная рубашка		одежда		мягкий	d			1
souple	французский	удобные ботинки		одежда		мягкий	d			1
weich	немецкий	мягкие тапочки		одежда		мягкий	d			1
weich	немецкий	мягкий халат +		одежда		мягкий	d			1
weich	немецкий	мягкий халат -		одежда		мягкий	d			1
yumuşak	турецкий	мягкие тапочки		одежда		мягкий	d			1
yumuşak	турецкий	мягкий халат		одежда		мягкий	d			1
мягкий	русский	мягкие тапочки	тапочки	одежда		мягкий	d			1
мягкий	русский	мягкий халат +	халат	одежда		мягкий	d			1
мягкий	русский	мягкий халат -	халат	одежда		мягкий	d			1
небыд	коми	мягкие тапочки		одежда		мягкий	d			1
небыд	коми	мягкий халат +		одежда		мягкий	d			1
небыд	коми	мягкий халат -		одежда		мягкий	d			1
ruan	китайский	слабый		ослабевшие ноги		мягкий	f			1
delicate	английский	мягкое мясо +		пища		мягкий	d			1
delicate	английский	мягкое мясо -		пища		мягкий	d			1
kypsä	финский	мягкий персик +		пища		мягкий	d			1
lɛpə	мокшанский	мягкая картошка		пища		мягкий	d			1
lɛpə	мокшанский	мягкий персик		пища		мягкий	d			1
lɛpə	мокшанский	мягкий хлеб		пища		мягкий	d			1
lɛpə	мокшанский	мягкое мясо		пища		мягкий	d			1
mallang-ha-ta	корейский	мягкий персик +		пища		мягкий	d			1
mallang-ha-ta	корейский	мягкий персик -		пища		мягкий	d			1
mianruan	китайский	мягкий хлеб +		пища		мягкий	d			1
moelleux	французский	мягкий хлеб +		пища		мягкий	d			1
mou	французский	мягкий персик -		пища		мягкий	d			1
mou	французский	мягкий хлеб -		пища		мягкий	d			1
murea	финский	мягкое мясо +		пища		мягкий	d			1
murea	финский	мягкое мясо -		пища		мягкий	d			1
mwulkheng-ha-ta	корейский	мягкий персик -		пища		мягкий	d			1
mwulu-ta	корейский	мягкий персик -		пища		мягкий	d			1
mürbe	немецкий	мягкое мясо +		пища		мягкий	d			1
mürbe	немецкий	мягкое мясо -		пища		мягкий	d			1
mürbe	немецкий	рассыпчатое печенье		пища		мягкий	d			1
n’ulәk°	ненецкий	мягкий персик +		пища		мягкий	d			1
n’ulәk°	ненецкий	мягкий персик -		пища		мягкий	d			1
n’ulәk°	ненецкий	мягкий хлеб +		пища		мягкий	d			1
n’ulәk°	ненецкий	мягкий хлеб -		пища		мягкий	d			1
n’ulәk°	ненецкий	мягкое мясо +		пища		мягкий	d			1
